Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,230000,450000,150000,270000,..,..,40000,-240000,..,1200000,9000000,180000,100000,0,0,0,0,400000,0,0,10,-280000,360000,-20000,20000,-93326.6,690000,-1460000,-10000,6040000,170000,680000,50000000,57799999.9,186900000,271000000,238000000,188690000,46033740,56107246.5,190774431.98,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.765,119435105.715177,23404553.647249,12970147.9832,20600976.1,..,..
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,421709865.5601,326490932.3561,218888245.6811,176559138.7134,898515563.30674,316834707.284756,411261082.713661,67103622.206923,168439069.521513,-12312370.2354044,483620276.464599,372130053.332138,581698643.395738,86246455.0162176,598858245.285658,106432296.255464,411045300.703155,279804684.253772,536594623.832505,400488555.909831,88673056.8135136,1241968645.57255,652324976.317141,839514648.785742,1187865944.08517,2662960706.50553,2087426669.53914,5757032202.88003,4121574272.52316,6254804528.57111,4315009005.87731,12205013776.8119,6464122722.93086,8555151107.40481,7979693806.58569,10333881076.9732,7234542919.62867,16122287676.243,22483230616.7784,18484263835.8484,13934876538.7935,17538712523.6722,24636341954.2217,21534247725.2882,27681420244.8427,28680935067.5491,16660273342.0087,10108286477.1269,13588979646.0999,14898053651.706,13640224004.7691,54400900543.492,19810590597.0819,..
Africa Western and Central,AFW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,407459999.6,388679999.7,476659999,642409999.5,518269117.686841,969105150.470566,605378805.49715,778790474.853075,751399198.553945,785673507.757542,-228089204.802763,1172896062.16748,878530340.393694,768217164.303354,338951391.008596,893620026.79566,204429670.558956,1037919132.48478,973621876.651453,2569136447.72938,1073307823.62589,837652709.306607,1214631404.05396,1757936795.50148,2389930550.70975,945428066.172441,1182474450.17005,1622432324.65235,1897977339.26455,2391058451.97966,2560094804.89099,3224338688.16373,4408519415.31873,5262166817.82777,4653748699.63067,9278129441.98664,9202356526.48961,13030657207.3056,16317443289.6163,18159745850.6289,18874323022.7198,24501138032.0394,20912687292.4713,19157553412.4345,16598028196.8167,15643172769.1798,13937041742.1203,17662420840.0663,15492839382.6883,12452736451.8911,11404268051.3387,16991587240.5787,14237685688.4261,..
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,..,..,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1247181714.30558,1345415233.65619,1089898207.57431,1048706682.05458,917994575.801857,1254150555.51294,1149927985.77736,989578334.828615,1044389554.85795,1022757857.07377,1204383363.60476,1201022154.46643,1069744879.65453,1218586452.37158,1441381891.41694,..
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,80120000,600000,41490000,51000000,358000000,119000000,187000000,178452646.789187,135152172.302668,25692486.0358378,348669038.123928,13207259.3615813,-53569192.6448124,417641.162800209,802668.874073183,397788.2970683,5316528.3778563,3711537.89978504,13018265.0203164,12091646.7968636,334914.564224985,11638686.4524336,30000000,1000,1000,1000,270000000,260000000,606600000,291600000,280100000,1113105540.9,1064960000,637853027,884749028,1155999999.99995,1841000000.00008,1686736539.70385,2638607033.75183,2746930734.16534,2300369124.15828,2571237024.68517,1500402452.8635,1691886707.50796,1502206170.55838,-537792920.921856,1638263953.77737,1230243450.87889,1466116068.03412,1381200049.59264,1143918159.62919,869151161.725393,75640098.0874956,..
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,2399999.9,1860000,2160000,7540000,6690000,50000,-1169999.9,..,1870000,2000000,37420000,49049999.9,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.45,-3023770965.83688,-1464627990.88284,-7120017424.4614,3657514667.49327,10028215162.6394,-179517618.92,-7397295409.18991,-6456076413.12033,-4098478747.63755,-1866468113.07454,-4355116552.71589,-6598652652.09389,..
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2200000,-6900000,8500000,19600000,22400000,23000000,5000000,4400000,15600000,22600000,38596296.2962963,32951851.8518519,43107407.4074074,60607407.4074074,54792592.5925926,19648148.1481481,15240740.7407407,24788888.8888889,31485185.1851852,19351851.8518519,22944444.4444444,22774074.0740741,51792533.3333333,96504370.1625511,145813879.480756,92910942.6925618,120216017.556152,104576495.70641,123754285.361587,288731522.142357,346552078.976619,153573370.702718,83981325.7341622,93722574.3158356,69631054.053927,124833151.026493,92885388.5633041,46263101.049287,114024660.121814,97431976.4735789,151271628.230867,202333092.274125,133908540.326001,106204179.16137,289857032.537224,301726890.547669,..
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,489809999.8,47852734.621803,267977643.702819,-691490283.776953,-3399182606.66216,1474964060.39274,406538235.221491,924430386.842686,638527390.915861,-137420541.860675,-3211683186.33158,7107307475.33002,11797986204.3714,5637820865.74215,6253971511.46118,2022484766.22151,2333917876.22081,12216556.7856191,1628746427.10903,1312830828.2652,3053835681.97421,2123621590.75693,3477597028.59316,4331542878.48617,4909888143.90083,299885485.875065,3662695408.91061,8973444816.8066,9641399373.49395,2881569838.5819,3840491004.48041,8899597181.21731,6159576371.28864,14595559434.2392,21373075474.5273,38336974234.5663,57164037965.3858,63693369758.7192,54801432368.7682,40656588734.8125,45647503424.8256,33243608520.6617,42932591403.5434,35765830418.4171,24540020180.3313,21337111048.7071,47085439651.5689,30527077377.2239,42865771090.1568,34353873502.7872,32414831887.6883,63694469588.8987,75957323671.713,..
