Country Name,"Series Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Afghanistan,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43.256","43.244","43.207","43.162","43.125","43.071","43.031","43.007","43.003","43.007","43.041","43.098","43.164","43.235","43.311","43.259","43.216","43.178","43.153","43.133","43.178","43.244","43.308","43.374","42.924","42.472","42.021","40.493","38.965","36.711","36.263","32.333"
Albania,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","57.568","45.315","47.798","50.086","53.186","53.039","51.873","49.373","48.201","48.925","48.76","48.943","48.608","48.118","47.416","46.701","45.606","46.243","47.473","47.422","51.86","49.365","44.101","43.778","45.96","48.473","50.152","52.006","53.392","50.001","51.336","53.304"
Algeria,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","34.944","33.389","32.836","32.382","30.587","32.199","33.295","32.461","31.52","30.789","31.677","32.087","32.827","35.219","36.01","37.051","36.179","36.975","37.221","37.556","37.686","37.393","38.958","36.58","37.033","37.6","36.805","36.706","36.642","33.893","34.39","36.593"
American Samoa,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64.525","64.391","63.924","63.896","64.309","65.053","65.142","64.908","64.637","64.5","64.47","64.673","64.637","64.735","64.728","64.9","64.96","64.884","64.668","64.473","64.35","64.33","64.151","63.994","63.656","63.317","63.028","62.793","62.642","62.55","64.304","64.447"
Antigua and Barbuda,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","56.747","56.867","55.269","54.689","49.947","51.379","53.437","55.058","53.735","52.96","50.99","48.436","51.697","53.566","54.43","55.571","55.941","55.692","55.523","55.549","56.295","56.002","55.703","55.119","54.739","54.249","53.899","54.105","54.357","49.6","55.085","56.351"
Armenia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64.064","63.616","60.859","59.578","59.147","57.216","56.033","56.717","55.398","55.273","55.084","54.845","54.596","54.391","54.246","54.187","54.27","54.037","54.557","54.575","54.481","54.347","54.262","54.165","54.069","53.979","53.807","53.592","55.218","54.556","56.445","56.548"
Aruba,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
