Country Name,"Series Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Afghanistan,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5935.40735538407","5983.39958835073","5819.81688593034","6197.04020407106","6224.27100062851","7030.21950228746","7195.52205971667","8338.95756945787","9205.14791845058","8779.03082634472","9338.39158192617","9410.20108381943","9195.1483310949","9062.64608774208","9081.99351200923","9089.06383061441","9203.9826372978","9581.85756708948","9541.77095707523","7390.70244539739","NA"
Albania,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8983.33054995236","10631.3209984156","11084.0327389783","11498.2199114146","12313.1020970041","13506.5600560777","12318.4636025668","14083.5116777314","16263.32648126","17094.4519848379","18566.5677733059","19185.9366040052","20231.0794942386","21399.116886271","22751.4753208628","24314.5743118478","26261.0907559589","27721.8339941957","27781.9180430558","28685.4032175728","26723.3121737002","28295.1353083216","31838.9859308359","32519.6999651014","31582.6135705478","30846.9426776055","30844.8461254323","30882.5297470858","30717.2095776045","31792.9290579565","33961.6685867407","34659.8077602917"
Algeria,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","42262.6446973819","43611.1559721101","42059.016140462","40950.459231059","43586.5167201653","41589.898896276","39119.841093219","40709.4097008727","41894.6051312802","43131.1495371256","41886.3938265523","42422.4506033889","43251.7123099808","40966.2737386277","41446.4617273244","40057.8427510007","41462.9981160515","40652.6839397434","40188.7027045332","40467.7420236838","40755.2810216985","41765.5311539616","40591.0683758627","44247.0842231949","44696.2114927531","44806.9772350551","45740.3621179561","45772.3318229684","45639.7143824124","46136.6040931382","46286.2379370345","44122.7689978647"
American Samoa,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16458.5251684633","15061.868142141","11191.8252167528","11003.0988531817","12165.0784307084","13193.1471920635","13646.5356130497","13845.4267875112","13724.4563642923","13687.6876650423","13774.0893742708","15058.8795089686","14961.8840034714","15970.5219800736","17702.0483236648","18977.7952268533","20828.5559915935","22340.9400847549","21790.2407551868","21983.5104184823","21949.7528116734","22953.869797885","23276.3964918099","23577.3870539532","23074.1599188798","21786.6263986216","21061.8244613278","20116.7565672538","19312.5012309011","17625.1530539942","16770.2002623909","16666.946100776"
Antigua and Barbuda,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38397.6283155436","40656.9319975881","44508.0206128806","46814.5034193343","48989.3843876011","49465.047762782","50641.5719901723","50297.7697132532","49075.3267296315","48703.6684257699","47682.6367555459","44109.373945298","44370.6021530176","46061.0903605963","48662.6131243053","50782.6870841149","54241.1778296412","55924.341346986","52043.8643056322","56943.432764564","58705.4135975736","57598.9014366423","58507.6343872866","56885.1795777604","58088.4666508557","56675.1196647892","57915.6255284952","55460.3855167411","53385.378273041","52010.6147907101","51161.3888899713","51801.9559592013"
Armenia,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10012.0956106691","5950.13178566705","5872.30755383565","6469.57179059322","7044.4482126206","7718.67841882169","8156.48561821407","8655.01794440869","9152.6831977512","9707.19117528184","10657.2802735424","12078.5777506616","13767.8528125964","15190.5826446558","17251.6206304012","19445.9841711211","21986.058724693","23566.1176643032","20077.2356883684","20578.6870855193","21674.1208845363","23403.1211131156","24350.9552169126","25433.7687729872","26476.2236850192","26769.916641558","29086.6086797376","30945.9212435483","32535.2233673863","30737.3827812858","31628.0774683262","35707.4373182421"
Aruba,"GDP per person employed (constant 2017 PPP $)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
